Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/2024,AQS,350010023,1,39.6,ppb,37,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/2/2024,AQS,350010023,1,37.5,ppb,35,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/3/2024,AQS,350010023,1,42.7,ppb,40,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/4/2024,AQS,350010023,1,18.9,ppb,17,DEL NORTE HIGH SCHOOL,21,88,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/5/2024,AQS,350010023,1,19.3,ppb,18,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/6/2024,AQS,350010023,1,39.7,ppb,37,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/7/2024,AQS,350010023,1,26.2,ppb,25,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/8/2024,AQS,350010023,1,11.7,ppb,10,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/9/2024,AQS,350010023,1,42.1,ppb,40,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/10/2024,AQS,350010023,1,41.1,ppb,39,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/11/2024,AQS,350010023,1,12.5,ppb,11,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/12/2024,AQS,350010023,1,43.3,ppb,41,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/13/2024,AQS,350010023,1,43.7,ppb,41,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/14/2024,AQS,350010023,1,27.2,ppb,25,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/15/2024,AQS,350010023,1,37.8,ppb,35,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/16/2024,AQS,350010023,1,35.4,ppb,33,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
