County in New Mexico USA,medan house hold income  (Dollars)
Bernalillo County,"62,220"
Catron County,"44,777"
Chaves County,"49,673"
Cibola County,"49,866"
Colfax County,"46,286"
Curry County,"55,427"
De Baca County,"34,702"
Dona Ana County,"51,232"
Eddy County,"77,458"
Grant County,"44,895"
Guadalupe County,"38,713"
Harding County,"39,489"
Hidalgo County,"53,651"
Lea County,"65,855"
Lincoln County,"47,919"
Los Alamos County,"135,801"
Luna County,"38,241"
McKinley County,"44,029"
Mora County,"40,231"
Otero County,"50,833"
Quay County,"38,998"
Rio Arriba County,"52,031"
Roosevelt County,"52,644"
San Juan County,"50,734"
San Miguel County,"43,490"
Sandoval County,"76,424"
Santa Fe County,"70,522"
Sierra County,"35,256"
Socorro County,"40,699"
Taos County,"55,145"
Torrance County,"50,727"
Union County,"41,714"
Valencia County,"56,246"
