Local Site Name,County,State,Material
Holland,Allegan,MN,AQI
Anoka County Airport,Anoka,MN,AQI
FWS Wetland Management District,Becker,MN,AQI
Red Lake Nation,Beltrami,MN,AQI
FRANKFORT,Benzie,MN,AQI
Coloma PAW PAW WWTP,Berrien,MN,AQI
Fond du Lac Band,Carlton,MN,AQI
Leech Lake Nation:,Cass,MN,AQI
ROSELAKE2 9870 STOLL RD,Clinton,MN,AQI
Grand Portage Band,Cook,MN,AQI
Brainerd Lakes Regional Airport,Crow Wing,MN,AQI
Stanton Air Field,Goodhue,MN,AQI
RURAL THUMB AREA OZONE SITE,Huron,MN,AQI
LANSING / FILLEY STREET,Ingham,MN,AQI
KALAMAZOO FAIRGROUNDS,Kalamazoo,MN,AQI
GR-MONROE,Kent,MN,AQI
Boundary Waters,Lake,MN,AQI
"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",Lenawee,MN,AQI
Southwest Minnesota Regional Airport,Lyon,MN,AQI
SCOTTVILLE - LOCATED 550 FT NORTH OF US10,Mason,MN,AQI
Mille Lacs Band,Mille Lacs,MN,AQI
LOCATED ABOUT 1/4 MILE WEST OF SITE,Missaukee,MN,AQI
MUSKEGON,Muskegon,MN,AQI
Oak Park,Oakland,MN,AQI
Ben Franklin School,Olmsted,MN,AQI
Jenison,Ottawa,MN,AQI
"Seney SENEY NAT'L WILDLIFE REFUGE, HCR2, BOX 1",Schoolcraft,MN,AQI
B.F. Pearson School,Scott,MN,AQI
Port Huron,St. Clair,MN,AQI
Talahi School,Stearns,MN,AQI
Unionville,Tuscola,MN,AQI
St. Croix Watershed Research Station,Washington,MN,AQI
Ann Arbor,Washtenaw,MN,AQI
Allen Park,Wayne,MN,AQI
Hoxeyville,Wexford,MN,AQI
Great River Bluffs,Winona,MN,AQI
St. Michael Elementary School,Wright,MN,AQI
Anoka County Airport,Anoka,MN,CO
Anoka County Airport,Anoka,MN,NO2
Near Road I-35/I-94,Hennepin,MN,NO2
Virginia City Hall,Saint Louis,MN,NO2
Holland,Allegan,MN,Ozone
Anoka County Airport,Anoka,MN,Ozone
FWS Wetland Management District,Becker,MN,Ozone
FRANKFORT,Benzie,MN,Ozone
Coloma PAW PAW WWTP,Berrien,MN,Ozone
Fond du Lac Band,Carlton,MN,Ozone
"Cassopolis ROSS BEATTY HIGH SCHOOL, 22721 DIAMOND COVE ST.",Cass,MN,Ozone
ROSELAKE2 9870 STOLL RD,Clinton,MN,Ozone
Brainerd Lakes Regional Airport,Crow Wing,MN,Ozone
Stanton Air Field,Goodhue,MN,Ozone
Near Road I-35/I-94,Hennepin,MN,Ozone
RURAL THUMB AREA OZONE SITE,Huron,MN,Ozone
LANSING / FILLEY STREET,Ingham,MN,Ozone
KALAMAZOO FAIRGROUNDS,Kalamazoo,MN,Ozone
GR-MONROE,Kent,MN,Ozone
Boundary Waters,Lake,MN,Ozone
"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",Lenawee,MN,Ozone
Southwest Minnesota Regional Airport,Lyon,MN,Ozone
SCOTTVILLE - LOCATED 550 FT NORTH OF US10,Mason,MN,Ozone
Mille Lacs Band,Mille Lacs,MN,Ozone
LOCATED ABOUT 1/4 MILE WEST OF SITE,Missaukee,MN,Ozone
MUSKEGON,Muskegon,MN,Ozone
Oak Park,Oakland,MN,Ozone
Ben Franklin School,Olmsted,MN,Ozone
Jenison,Ottawa,MN,Ozone
"Seney SENEY NAT'L WILDLIFE REFUGE, HCR2, BOX 1",Schoolcraft,MN,Ozone
B.F. Pearson School,Scott,MN,Ozone
Port Huron,St. Clair,MN,Ozone
Talahi School,Stearns,MN,Ozone
Unionville,Tuscola,MN,Ozone
St. Croix Watershed Research Station,Washington,MN,Ozone
Ann Arbor,Washtenaw,MN,Ozone
Allen Park,Wayne,MN,Ozone
Hoxeyville,Wexford,MN,Ozone
St. Michael Elementary School,Wright,MN,Ozone
Anoka County Airport,Anoka,MN,PM2.5
FWS Wetland Management District,Becker,MN,PM2.5
Red Lake Nation,Beltrami,MN,PM2.5
Fond du Lac Band,Carlton,MN,PM2.5
Leech Lake Nation:,Cass,MN,PM2.5
Grand Portage Band,Cook,MN,PM2.5
Brainerd Lakes Regional Airport,Crow Wing,MN,PM2.5
Boundary Waters,Lake,MN,PM2.5
Southwest Minnesota Regional Airport,Lyon,MN,PM2.5
Ben Franklin School,Olmsted,MN,PM2.5
B.F. Pearson School,Scott,MN,PM2.5
Talahi School,Stearns,MN,PM2.5
Great River Bluffs,Winona,MN,PM2.5
St. Michael Elementary School,Wright,MN,PM2.5
BAD RIVER TRIBAL SCHOOL - ODANAH,Ashland,WI,AQI
GREEN BAY EAST HIGH,Brown,WI,AQI
COLUMBUS,Columbia,WI,AQI
HORICON WILDLIFE AREA,Dodge,WI,AQI
NEWPORT PARK,Door,WI,AQI
EAU CLAIRE - DOT SIGN SHOP,Eau Claire,WI,AQI
FOND DU LAC,Fond du Lac,WI,AQI
POTAWATOMI,Forest,WI,AQI
POTOSI,Grant,WI,AQI
JEFFERSON - LAATSCH,Jefferson,WI,AQI
CHIWAUKEE PRAIRIE STATELINE,Kenosha,WI,AQI
KEWAUNEE,Kewaunee,WI,AQI
LACROSSE - DOT BUILDING,La Crosse,WI,AQI
MANITOWOC - WDLND DUNES,Manitowoc,WI,AQI
LAKE DUBAY,Marathon,WI,AQI
APPLETON - AAL,Outagamie,WI,AQI
HARRINGTON BEACH PARK,Ozaukee,WI,AQI
RACINE - PAYNE AND DOLAN,Racine,WI,AQI
BELOIT - CONVERSE,Rock,WI,AQI
DEVILS LAKE PARK,Sauk,WI,AQI
TROUT LAKE,Vilas,WI,AQI
WAUKESHA - CLEVELAND AVE,Waukesha,WI,AQI
HORICON WILDLIFE AREA,Dodge,WI,CO
CHIWAUKEE PRAIRIE STATELINE,Kenosha,WI,CO
MILWAUKEE - COLLEGE AVE. NR,Milwaukee,WI,CO
CHIWAUKEE PRAIRIE STATELINE,Kenosha,WI,NO2
MANITOWOC - WDLND DUNES,Manitowoc,WI,NO2
MILWAUKEE - COLLEGE AVE. NR,Milwaukee,WI,NO2
MILWAUKEE - UWM UPARK,Milwaukee,WI,NO2
BAD RIVER TRIBAL SCHOOL - ODANAH,Ashland,WI,Ozone
GREEN BAY - UW,Brown,WI,Ozone
COLUMBUS,Columbia,WI,Ozone
