Local Site Name,County,State,Material,Monthly Measurements,Yearly Measurement Average,Year,Month
Holland,Allegan,MN,AQI,40.74193548,41.52610287,2023,3
Holland,Allegan,MN,AQI,49.46666667,41.52610287,2023,4
Holland,Allegan,MN,AQI,57.0,41.52610287,2023,5
Holland,Allegan,MN,AQI,65.7,41.52610287,2023,6
Holland,Allegan,MN,AQI,59.53333333,41.52610287,2023,7
Holland,Allegan,MN,AQI,45.25806452,41.52610287,2023,8
Holland,Allegan,MN,AQI,38.63333333,41.52610287,2023,9
Holland,Allegan,MN,AQI,31.4,41.52610287,2023,10
Holland,Allegan,MN,AQI,37.0,38.88350821,2024,2
Holland,Allegan,MN,AQI,51.41935484,38.88350821,2024,7
Holland,Allegan,MN,AQI,44.74193548,38.88350821,2024,8
Holland,Allegan,MN,AQI,45.93333333,38.88350821,2024,9
Holland,Allegan,MN,AQI,39.93548387,38.88350821,2024,10
Anoka County Airport,Anoka,MN,AQI,2.76,32.78924889,2020,1
Anoka County Airport,Anoka,MN,AQI,16.0,32.78924889,2020,1
Anoka County Airport,Anoka,MN,AQI,25.35483871,32.78924889,2020,1
Anoka County Airport,Anoka,MN,AQI,42.45,32.78924889,2020,1
Anoka County Airport,Anoka,MN,AQI,3.206896552,32.78924889,2020,2
Anoka County Airport,Anoka,MN,AQI,21.34615385,32.78924889,2020,2
Anoka County Airport,Anoka,MN,AQI,32.51851852,32.78924889,2020,2
Anoka County Airport,Anoka,MN,AQI,38.93548387,32.78924889,2020,2
Anoka County Airport,Anoka,MN,AQI,3.166666667,32.78924889,2020,12
Anoka County Airport,Anoka,MN,AQI,21.93333333,32.78924889,2020,12
Anoka County Airport,Anoka,MN,AQI,45.375,32.78924889,2020,12
Anoka County Airport,Anoka,MN,AQI,2.275862069,36.75502238,2021,1
Anoka County Airport,Anoka,MN,AQI,16.77777778,36.75502238,2021,1
Anoka County Airport,Anoka,MN,AQI,25.61290323,36.75502238,2021,1
Anoka County Airport,Anoka,MN,AQI,44.11904762,36.75502238,2021,1
Anoka County Airport,Anoka,MN,AQI,2.857142857,36.75502238,2021,2
Anoka County Airport,Anoka,MN,AQI,22.2173913,36.75502238,2021,2
Anoka County Airport,Anoka,MN,AQI,31.57142857,36.75502238,2021,2
Anoka County Airport,Anoka,MN,AQI,46.78787879,36.75502238,2021,2
Anoka County Airport,Anoka,MN,AQI,2.966666667,36.75502238,2021,12
Anoka County Airport,Anoka,MN,AQI,16.57692308,36.75502238,2021,12
Anoka County Airport,Anoka,MN,AQI,24.06666667,36.75502238,2021,12
Anoka County Airport,Anoka,MN,AQI,39.38636364,36.75502238,2021,12
Anoka County Airport,Anoka,MN,AQI,3.310344828,34.9382452,2022,1
Anoka County Airport,Anoka,MN,AQI,20.56521739,34.9382452,2022,1
Anoka County Airport,Anoka,MN,AQI,29.51612903,34.9382452,2022,1
Anoka County Airport,Anoka,MN,AQI,41.825,34.9382452,2022,1
Anoka County Airport,Anoka,MN,AQI,2.25,34.9382452,2022,2
Anoka County Airport,Anoka,MN,AQI,20.43478261,34.9382452,2022,2
Anoka County Airport,Anoka,MN,AQI,33.03571429,34.9382452,2022,2
Anoka County Airport,Anoka,MN,AQI,40.84210526,34.9382452,2022,2
Anoka County Airport,Anoka,MN,AQI,2.214285714,34.9382452,2022,12
Anoka County Airport,Anoka,MN,AQI,15.11111111,34.9382452,2022,12
Anoka County Airport,Anoka,MN,AQI,25.46666667,34.9382452,2022,12
Anoka County Airport,Anoka,MN,AQI,34.40625,34.9382452,2022,12
Anoka County Airport,Anoka,MN,AQI,2.333333333,38.7890368,2023,1
Anoka County Airport,Anoka,MN,AQI,18.23076923,38.7890368,2023,1
Anoka County Airport,Anoka,MN,AQI,44.48387097,38.7890368,2023,1
Anoka County Airport,Anoka,MN,AQI,3.0,38.7890368,2023,2
Anoka County Airport,Anoka,MN,AQI,25.96,38.7890368,2023,2
Anoka County Airport,Anoka,MN,AQI,39.89189189,38.7890368,2023,2
Anoka County Airport,Anoka,MN,AQI,3.705882353,38.7890368,2023,12
Anoka County Airport,Anoka,MN,AQI,16.37037037,38.7890368,2023,12
Anoka County Airport,Anoka,MN,AQI,43.02439024,38.7890368,2023,12
Anoka County Airport,Anoka,MN,AQI,2.285714286,35.8479293,2024,1
Anoka County Airport,Anoka,MN,AQI,11.62962963,35.8479293,2024,1
Anoka County Airport,Anoka,MN,AQI,41.18181818,35.8479293,2024,1
Anoka County Airport,Anoka,MN,AQI,3.615384615,35.8479293,2024,2
Anoka County Airport,Anoka,MN,AQI,18.86956522,35.8479293,2024,2
Anoka County Airport,Anoka,MN,AQI,37.55555556,35.8479293,2024,2
FWS Wetland Management District,Becker,MN,AQI,28.38709677,32.78924889,2020,1
FWS Wetland Management District,Becker,MN,AQI,22.72413793,32.78924889,2020,2
FWS Wetland Management District,Becker,MN,AQI,36.70967742,32.78924889,2020,3
FWS Wetland Management District,Becker,MN,AQI,27.29032258,32.78924889,2020,3
FWS Wetland Management District,Becker,MN,AQI,38.73333333,32.78924889,2020,4
FWS Wetland Management District,Becker,MN,AQI,24.4,32.78924889,2020,4
FWS Wetland Management District,Becker,MN,AQI,38.93548387,32.78924889,2020,5
FWS Wetland Management District,Becker,MN,AQI,24.25806452,32.78924889,2020,5
FWS Wetland Management District,Becker,MN,AQI,46.43333333,32.78924889,2020,6
FWS Wetland Management District,Becker,MN,AQI,21.1,32.78924889,2020,6
FWS Wetland Management District,Becker,MN,AQI,34.65517241,32.78924889,2020,7
FWS Wetland Management District,Becker,MN,AQI,11.22580645,32.78924889,2020,7
FWS Wetland Management District,Becker,MN,AQI,32.22222222,32.78924889,2020,8
FWS Wetland Management District,Becker,MN,AQI,16.32258065,32.78924889,2020,8
FWS Wetland Management District,Becker,MN,AQI,29.3,32.78924889,2020,9
FWS Wetland Management District,Becker,MN,AQI,13.96666667,32.78924889,2020,9
FWS Wetland Management District,Becker,MN,AQI,28.12903226,32.78924889,2020,10
