Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
3070061,11-Nov-24,New Mexico,Las Cruces,1300 block of S Espina St,0,0,0,1,1,N/A
3069903,11-Nov-24,New Mexico,Albuquerque,2401 San Mateo Blvd NE,0,3,1,0,0,N/A
3070014,10-Nov-24,New Mexico,Albuquerque,Mountain Rd NE and Georgia St NE,1,0,0,0,1,N/A
3068531,10-Nov-24,New Mexico,Santa Fe,3700 block of Camino Tierra Real,1,0,0,0,1,N/A
3069042,9-Nov-24,New Mexico,Santa Fe,6332 Entrada de Milagro,0,1,0,0,1,N/A
3068474,9-Nov-24,New Mexico,Albuquerque,400 Vermont St NE,0,1,0,0,1,N/A
3069187,5-Nov-24,New Mexico,Chimayo,Juan Medina Rd,0,1,0,0,2,N/A
3064575,2-Nov-24,New Mexico,Santa Fe,NM-599 and N Horizon Ln,0,1,0,0,2,N/A
3067684,1-Nov-24,New Mexico,Bayard,US-180,1,1,0,0,1,N/A
3061115,30-Oct-24,New Mexico,Rio Rancho,Inca Rd and 2nd St SE,1,0,0,0,0,N/A
3060207,29-Oct-24,New Mexico,Clayton,301 Magnolia St,0,1,0,0,1,N/A
3060218,29-Oct-24,New Mexico,Albuquerque,5015 Larchmont Dr NE,1,0,0,0,1,N/A
3057461,27-Oct-24,New Mexico,Clovis,900 block of W Plaza Dr,0,2,0,0,0,N/A
3058725,27-Oct-24,New Mexico,Clovis,700 block of S Sandoval St,0,1,0,0,0,N/A
3053272,22-Oct-24,New Mexico,Albuquerque,Lost Horizon Dr NW,1,0,0,0,1,N/A
3054071,22-Oct-24,New Mexico,Shiprock,US-64,0,0,0,0,2,N/A
3056348,21-Oct-24,New Mexico,Hobbs,N Dal Paso St and E Navajo Dr,1,0,0,0,1,N/A
3052419,21-Oct-24,New Mexico,Farmington,2900 block of English Rd,2,0,0,0,1,N/A
3053315,21-Oct-24,New Mexico,Roswell,N Orchard Ave and E 3rd St,1,0,0,0,4,N/A
